CLASS,PROPERTY,LINKS
,,
modsci,,https://w3id.org/skgo/modsci#Psychology
acm,,
wlo,,http://purl.org/ontology/wo/AnimalIntelligence
coreo,,http://purl.org/coreo#Attitude
km4c,,http://www.disit.org/km4city/schema#Psychologists
cwrc,,http://sparql.cwrc.ca/ontologies/cwrc#Persona
rsctx,,http://softeng.polito.it/rsctx#MentalState
biotop,,http://purl.org/biotop/biotop.owl#MentalFunction
tb,,https://w3id.org/timebank#MentalDisorder
being,,http://contextus.net/ontology/ontomedia/ext/common/being#Mental-Illness
vair,,https://w3id.org/vair#Health
sbeo,,https://w3id.org/sbeo#MentalAbility
gdprt,,https://w3id.org/GDPRtEXT#HealthData
s4ehaw,,https://saref.etsi.org/saref4ehaw/HealthActuator
m3lite,,http://purl.org/iot/vocab/m3-lite#Health
obo,,http://purl.obolibrary.org/obo/OBI_0000207
iottaxolite,,http://purl.org/iot/vocab/iot-taxonomy-lite#Health
schema,,http://schema.org/HealthAndBeautyBusiness
gold,,http://purl.org/linguistics/gold/DeponentMiddleVoice
gold,,http://purl.org/linguistics/gold/DeponentMiddleVoice
,dul,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#expresses
,semiotics,http://www.ontologydesignpatterns.org/cp/owl/semiotics.owl#expresses
,being,http://contextus.net/ontology/ontomedia/ext/common/being#has-mental-disorder
,rsctx,http://softeng.polito.it/rsctx#hasMentalState
,era,http://data.europa.eu/949/healthSafetyAndEnvironmentDataParameter
,demlab,http://www.demcare.eu/ontologies/demlab.owl#hasMMSEScore
,s4ehaw,https://saref.etsi.org/saref4ehaw/lastName
,provoc,http://ns.inria.fr/provoc#healthImpact
,ludo-gm,http://ns.inria.fr/ludo/v1/gamemodel#hasObjectVitality
,pimsii,http://www.molmod.info/semantics/pims-ii.ttl#isGoalOf
,sulo,https://w3id.org/sulo/hasPart
,dbpedia-owl,https://dbpedia.org/ontology/associationOfLocalGovernment
,hosp,
,gcon,https://w3id.org/GConsent#hasAssociation
,rico,https://www.ica.org/standards/RiC/ontology#hasFamilyAssociationWith
,dsd,https://w3id.org/dsd#hasAssociationMember
,dpv,https://w3id.org/dpv#hasProcessing
,gvp,http://vocab.getty.edu/ontology#ulan1322_school_was
,frbrer,http://iflastandards.info/ns/fr/frbr/frbrer/P3029
,rdf,https://www.w3.org/1999/02/22-rdf-syntax-ns#type
,owl,https://www.w3.org/2002/07/owl#sameAs
crm,,https://cidoc-crm.org/html/cidoc_crm_v7.1.3.html#E53
,conversion,https://raw.githubusercontent.com/timrdf/csv2rdf4lod-automation/master/doc/ontology/vocab.ttl
prov,,https://www.w3.org/ns/prov#Association
sio,,https://ontobee.org/ontology/SIO?iri=http://semanticscience.org/resource/SIO_000897
org,,https://www.w3.org/ns/org#FormalOrganization
dsd,,https://dqm.faw.jku.at/ontologies/dsd/4.0.0/index.html#Association
,gr,https://www.heppnetz.de/ontologies/goodrelations/v1#closes
dpv,,https://w3c.github.io/dpv/2.2/dpv/#LocalLocation
,foo,https://naeima.github.io/foo_html/OnToology/index.ttl/documentation/index-en.html#LocalTime
essglobal,,https://bracesarcadia.com/#LocationOfSale
xkos,,https://rdf-vocabulary.ddialliance.org/xkos.html#ConceptAssociation
crm,,https://cidoc-crm.org/html/cidoc_crm_version_7.1.3_documentation_text.html#deprecated.class.migration.instructions
,gleif-base,https://www.gleif.org/ontology/v1.0/Base/index-en.html#hasNameLocal
,nlon,https://lod.nl.go.kr/page/ontology/localHolding
,gn,https://www.geonames.org/ontology/documentation.html#officialName
,dba,https://asisp.intesasanpaolo.com/intesa-web/resources/documenti/dba/index.html
,eac-cpf,http://archivi.ibc.regione.emilia-romagna.it/ontology/eac-cpf/localControl
,gcon,https://openscience.adaptcentre.ie/ontologies/GConsent/docs/ontology#hasAssociation
,rdaa,https://www.rdaregistry.info/Elements/a/?language=fr#P50241
